# y+ ()       
# Time        	patch         	min           	max           	average       
1650          	wall-h2	1.746111e+01	2.310778e+01	1.964184e+01
1650          	airfoil-h2	3.611914e-02	8.815917e-02	6.687155e-02
1650          	wall-h1	1.659314e+01	1.745446e+01	1.704717e+01
1650          	airfoil-h1	3.275390e-02	1.024339e-01	9.155914e-02
1700          	airfoil-l1	4.036670e-02	1.029936e-01	9.097964e-02
1700          	wall-l1	1.621298e+01	1.703889e+01	1.664811e+01
1700          	airfoil-l2	3.630156e-02	8.650012e-02	6.676225e-02
1700          	wall-l2	1.704520e+01	2.217969e+01	1.906636e+01
1700          	wall-h2	1.746882e+01	2.312337e+01	1.965224e+01
1700          	airfoil-h2	3.607874e-02	8.815867e-02	6.684721e-02
1700          	wall-h1	1.660021e+01	1.746220e+01	1.705491e+01
1700          	airfoil-h1	3.276260e-02	1.024353e-01	9.156053e-02
1750          	airfoil-l1	4.035993e-02	1.029924e-01	9.097752e-02
1750          	wall-l1	1.621094e+01	1.703466e+01	1.664433e+01
1750          	airfoil-l2	3.626028e-02	8.649574e-02	6.673689e-02
1750          	wall-l2	1.704098e+01	2.217289e+01	1.906180e+01
1750          	wall-h2	1.747599e+01	2.313758e+01	1.966195e+01
1750          	airfoil-h2	3.604374e-02	8.815848e-02	6.682622e-02
1750          	wall-h1	1.660777e+01	1.746936e+01	1.706174e+01
1750          	airfoil-h1	3.277087e-02	1.024366e-01	9.156177e-02
1800          	airfoil-l1	4.035357e-02	1.029914e-01	9.097570e-02
1800          	wall-l1	1.620748e+01	1.703140e+01	1.664102e+01
1800          	airfoil-l2	3.622396e-02	8.649210e-02	6.671473e-02
1800          	wall-l2	1.703775e+01	2.216579e+01	1.905676e+01
1800          	wall-h2	1.748386e+01	2.315024e+01	1.967092e+01
1800          	airfoil-h2	3.601349e-02	8.815851e-02	6.680811e-02
1800          	wall-h1	1.661234e+01	1.747722e+01	1.706791e+01
1800          	airfoil-h1	3.277862e-02	1.024379e-01	9.156288e-02
1850          	airfoil-l1	4.034769e-02	1.029905e-01	9.097414e-02
1850          	wall-l1	1.620464e+01	1.702880e+01	1.663833e+01
1850          	airfoil-l2	3.619205e-02	8.648906e-02	6.669537e-02
1850          	wall-l2	1.703517e+01	2.216004e+01	1.905267e+01
1850          	wall-h2	1.749125e+01	2.316153e+01	1.967893e+01
1850          	airfoil-h2	3.598741e-02	8.815869e-02	6.679252e-02
1850          	wall-h1	1.661648e+01	1.748450e+01	1.707344e+01
1850          	airfoil-h1	3.278578e-02	1.024390e-01	9.156387e-02
1900          	airfoil-l1	4.034221e-02	1.029896e-01	9.097278e-02
1900          	wall-l1	1.620161e+01	1.702547e+01	1.663568e+01
1900          	airfoil-l2	3.616406e-02	8.648653e-02	6.667846e-02
